SNR (dB),NMSE
0,6.163876498943842e-05
5,6.189388396587279e-05
10,6.216928286317008e-05
12,6.222385659516411e-05
14,6.225153786010204e-05
16,6.226315125867611e-05
18,6.227311131121683e-05
20,6.227780716511441e-05
22,6.228155478604987e-05
24,6.228330464349951e-05
26,6.228492669434741e-05
28,6.228360566270815e-05
30,6.228516140517836e-05
