SNR (dB),NMSE
0,0.30993656316091445
5,0.305339346432048
10,0.30309159480499037
12,0.3023118103389661
14,0.3020194710406338
16,0.3015419034698041
18,0.30118459973129486
20,0.3010309555372088
22,0.30095181918334735
24,0.3008125380605197
26,0.30077852397327026
28,0.30074828393722636
30,0.30075359120883055
