SNR (dB),NMSE
0,2.7074594837894668e-08
5,2.7074609866095057e-08
10,2.7074620189201012e-08
12,2.7074611225748334e-08
14,2.7074594893851174e-08
16,2.7074600224519937e-08
18,2.7074602351657257e-08
20,2.7074595011622016e-08
22,2.7074609388288284e-08
24,2.7074602987058093e-08
26,2.707458657303273e-08
28,2.707459515372568e-08
30,2.707458804723522e-08
