SNR (dB),NMSE
0,4.846637586795747e-05
5,4.822314630385055e-05
10,4.792873238427692e-05
12,4.782575444982395e-05
14,4.7739983859495655e-05
16,4.767165367507541e-05
18,4.762002814453616e-05
20,4.7581842199316394e-05
22,4.755550563924214e-05
24,4.75377073556425e-05
26,4.752563638472908e-05
28,4.751777177691156e-05
30,4.7512642513482104e-05
