Epoch,Average Loss
1,1.6163852219775636e-05
2,1.0673856615977737e-07
3,4.603774149992744e-08
4,2.814854581315117e-08
5,2.109772463516677e-08
6,1.6616341341968275e-08
7,1.3903082521839345e-08
8,1.167350931454153e-08
9,1.0992519892908847e-08
10,9.914127021285365e-09

Total Training Time,01:54:00 (6840.35 seconds)
