SNR (dB),NMSE
0,2.8945287389043578e-05
5,2.8327482447075567e-05
10,2.7791951028286527e-05
12,2.763884861368663e-05
14,2.7524463237194134e-05
16,2.7442753018173487e-05
18,2.7386466213130057e-05
20,2.734879718148366e-05
22,2.7324099733991893e-05
24,2.7308293059489358e-05
26,2.7298139229028316e-05
28,2.729156586077878e-05
30,2.728740357663548e-05
