SNR (dB),NMSE
0,4.1647384989691456e-05
5,4.142586814378166e-05
10,4.119303616648467e-05
12,4.111505287739502e-05
14,4.10488291566123e-05
16,4.0996332332973266e-05
18,4.095688401852249e-05
20,4.092791736877102e-05
22,4.090783203834801e-05
24,4.0893928251546113e-05
26,4.088476015187353e-05
28,4.087874834246575e-05
30,4.0874860547777774e-05
