SNR (dB),NMSE
0,1.0877443939297795e-07
5,1.0877446391169604e-07
10,1.0877441377024305e-07
12,1.0877445715525338e-07
14,1.0877440983196822e-07
16,1.0877443476207797e-07
18,1.087744953062115e-07
20,1.087744548374617e-07
22,1.0877443306105768e-07
24,1.0877448120695375e-07
26,1.087744847018864e-07
28,1.0877443056641758e-07
30,1.0877441967787078e-07
