SNR (dB),NMSE
0,4.1590116144393525e-07
5,2.3912028588441925e-07
10,1.3925370606201446e-07
12,1.1543671491783144e-07
14,9.771895097377894e-08
16,8.499033300990421e-08
18,7.590062182200306e-08
20,6.955213068387985e-08
22,6.521620590575667e-08
24,6.228648985918838e-08
26,6.033577940766739e-08
28,5.908992025870071e-08
30,5.829123738930576e-08
