SNR (dB),NMSE
0,2.530129041463288e-10
5,1.1335071723831784e-10
10,9.385898863678577e-11
12,9.194666902856419e-11
14,9.095495884237081e-11
16,9.039407625199836e-11
18,9.007875926651347e-11
20,8.988235017381996e-11
22,8.9765212161567e-11
24,8.969099537144605e-11
26,8.964774894648641e-11
28,8.961692244772538e-11
30,8.959361308402692e-11
