SNR (dB),NMSE
0,65.33139341053077
5,65.32141402308245
10,65.31755219639027
12,65.31716156604374
14,65.31663210271986
16,65.31653184901853
18,65.31618699348121
20,65.31622174965298
22,65.31606338020437
24,65.3159962072043
26,65.31593975750248
28,65.31594772766466
30,65.31588164491745
