SNR (dB),NMSE
0,0.3616909830374007
5,0.35684735826207
10,0.35529236534830205
12,0.355345001656323
14,0.3550380146512704
16,0.3552218013468119
18,0.3551526886891134
20,0.355104934755813
22,0.35494309467095764
24,0.3551756294972531
26,0.3551991917732833
28,0.3549384476682538
30,0.3551861320238553
