Epoch,Average Loss
1,13.081901604286177
2,5.057171947629812
3,5.026379249428361
4,5.019106311884485
5,5.010785057258544
6,5.009469255665212
7,5.006872626116113
8,5.006137930432866
9,5.005210565386833
10,5.004984864830701
Total Training Time,03:42:46 (13366.38 seconds)
