SNR (dB),NMSE
0,4.748516334466914e-05
5,4.748516482377492e-05
10,4.7485165528962834e-05
12,4.7485165545909944e-05
14,4.748516551672326e-05
16,4.748516506715419e-05
18,4.7485164807769317e-05
20,4.748516451684399e-05
22,4.7485164440111264e-05
24,4.748516414918594e-05
26,4.748516426404966e-05
28,4.748516409457859e-05
30,4.748516416707455e-05
