SNR (dB),NMSE
0,1.3047474926996755e-08
5,1.3047452106544216e-08
10,1.3047433956164811e-08
12,1.30474264356034e-08
14,1.3047425020309679e-08
16,1.3047423962221739e-08
18,1.3047423140939715e-08
20,1.304742098611865e-08
22,1.3047421189487143e-08
24,1.3047421982693942e-08
26,1.3047421629478382e-08
28,1.3047418648260914e-08
30,1.3047421094669959e-08
