SNR (dB),NMSE
0,4.073943405819968e-05
5,4.073943503830732e-05
10,4.073943589366543e-05
12,4.073943586447875e-05
14,4.0739435637105075e-05
16,4.0739435259561206e-05
18,4.07394350034716e-05
20,4.07394348994352e-05
22,4.0739434790220514e-05
24,4.0739434722432095e-05
26,4.073943460992214e-05
28,4.073943471584155e-05
30,4.0739434576027925e-05
