Epoch,Average Loss
1,1.6194152270785378e-05
2,1.0120097674118696e-07
3,4.9470219294906974e-08
4,3.040929260265741e-08
5,2.3224504020549716e-08
6,1.816935938236819e-08
7,1.4677882879865084e-08
8,1.3910250987199492e-08
9,1.0324248808785983e-08
10,1.0021481099619203e-08

Total Training Time,03:43:10 (13390.80 seconds)
