Epoch,Average Loss
1,1.616348008351302e-05
2,1.0810364183841486e-07
3,4.5116751448040926e-08
4,2.911083040880853e-08
5,2.06034694037529e-08
6,1.6710049193159373e-08
7,1.3877631538025041e-08
8,1.1657110411932347e-08
9,1.0285279497961622e-08
10,9.66567342355304e-09

Total Training Time,00:29:15 (1755.06 seconds)
